V,I
-4,-0.03001
-3.98,-0.03
-3.96,-0.03
-3.94,-0.03
-3.92,-0.03
-3.8995,-0.03
-3.8795,-0.03
-3.8595,-0.03
-3.8395,-0.03
-3.8195,-0.03
-3.7995,-0.03
-3.7795,-0.03
-3.7595,-0.03
-3.7395,-0.03
-3.7195,-0.03
-3.699,-0.0296
-3.679,-0.02921
-3.659,-0.02881
-3.639,-0.02845
-3.619,-0.02808
-3.599,-0.02771
-3.579,-0.02736
-3.559,-0.02702
-3.539,-0.02667
-3.519,-0.02634
-3.4985,-0.026
-3.4785,-0.02568
-3.4585,-0.02535
-3.4385,-0.02504
-3.4185,-0.02473
-3.3985,-0.02441
-3.3785,-0.02411
-3.3585,-0.02381
-3.3385,-0.02351
-3.3185,-0.02322
-3.298,-0.02292
-3.278,-0.02264
-3.258,-0.02235
-3.238,-0.02207
-3.218,-0.02179
-3.198,-0.02151
-3.178,-0.02124
-3.158,-0.02097
-3.138,-0.0207
-3.118,-0.02044
-3.0975,-0.02019
-3.0775,-0.01993
-3.0575,-0.01968
-3.0375,-0.01943
-3.0175,-0.01919
-2.9975,-0.01894
-2.9775,-0.0187
-2.9575,-0.01846
-2.9375,-0.01824
-2.9175,-0.018
-2.897,-0.01776
-2.877,-0.01754
-2.857,-0.01731
-2.837,-0.01709
-2.817,-0.01686
-2.797,-0.01664
-2.777,-0.01643
-2.757,-0.01621
-2.737,-0.01599
-2.717,-0.01578
-2.6965,-0.01556
-2.6765,-0.01535
-2.6565,-0.01514
-2.6365,-0.01493
-2.6165,-0.01473
-2.5965,-0.01452
-2.5765,-0.01432
-2.5565,-0.01412
-2.5365,-0.01391
-2.5165,-0.01371
-2.496,-0.01349
-2.476,-0.0133
-2.456,-0.0131
-2.436,-0.0129
-2.416,-0.0127
-2.396,-0.0125
-2.376,-0.01229
-2.356,-0.0121
-2.336,-0.0119
-2.316,-0.0117
-2.2955,-0.0115
-2.2755,-0.01131
-2.2555,-0.0111
-2.2355,-0.01091
-2.2155,-0.01071
-2.1955,-0.01051
-2.1755,-0.01033
-2.1555,-0.01012
-2.1355,-0.00994
-2.1155,-0.00974
-2.095,-0.00955
-2.075,-0.00937
-2.055,-0.00917
-2.035,-0.00899
-2.015,-0.0088
-1.995,-0.00861
-1.975,-0.00842
-1.955,-0.00824
-1.935,-0.00805
-1.915,-0.00788
-1.8945,-0.00769
-1.8745,-0.0075
-1.8545,-0.00732
-1.8345,-0.00714
-1.8145,-0.00698
-1.7945,-0.0068
-1.7745,-0.00663
-1.7545,-0.00646
-1.7345,-0.00629
-1.7145,-0.00612
-1.694,-0.00595
-1.674,-0.00579
-1.654,-0.00562
-1.634,-0.00546
-1.614,-0.00529
-1.594,-0.00514
-1.574,-0.00498
-1.554,-0.00483
-1.534,-0.00468
-1.514,-0.00452
-1.4935,-0.00437
-1.4735,-0.00423
-1.4535,-0.00408
-1.4335,-0.00394
-1.4135,-0.0038
-1.3935,-0.00366
-1.3735,-0.00353
-1.3535,-0.0034
-1.3335,-0.00326
-1.3135,-0.00314
-1.293,-0.00301
-1.273,-0.00289
-1.253,-0.00277
-1.233,-0.00265
-1.213,-0.00253
-1.193,-0.00242
-1.173,-0.00231
-1.153,-0.00221
-1.133,-0.0021
-1.113,-0.00199
-1.0925,-0.00189
-1.0725,-0.00179
-1.0525,-0.0017
-1.0325,-0.00161
-1.0125,-0.00152
-0.9925,-0.00143
-0.9725,-0.00135
-0.9525,-0.00127
-0.9325,-0.00119
-0.9125,-0.00112
-0.892,-0.00105
-0.872,-9.77E-04
-0.852,-9.11E-04
-0.832,-8.47E-04
-0.812,-7.89E-04
-0.792,-7.32E-04
-0.772,-6.81E-04
-0.752,-6.29E-04
-0.732,-5.77E-04
-0.712,-5.29E-04
-0.6915,-4.83E-04
-0.6715,-4.45E-04
-0.6515,-4.05E-04
-0.6315,-3.67E-04
-0.6115,-3.34E-04
-0.5915,-3.01E-04
-0.5715,-2.73E-04
-0.5515,-2.43E-04
-0.5315,-2.19E-04
-0.5115,-1.93E-04
-0.491,-1.74E-04
-0.471,-1.56E-04
-0.451,-1.38E-04
-0.431,-1.19E-04
-0.411,-1.06E-04
-0.391,-9.34E-05
-0.371,-8.27E-05
-0.351,-6.91E-05
-0.331,-6.02E-05
-0.311,-5.23E-05
-0.2905,-4.55E-05
-0.2705,-3.92E-05
-0.2505,-3.38E-05
-0.2305,-2.93E-05
-0.2105,-2.56E-05
-0.1905,-2.18E-05
-0.1705,-1.88E-05
-0.1505,-1.25E-05
-0.1305,-1.01E-05
-0.1105,-8.29E-06
-0.09,-6.41E-06
-0.07,-4.77E-06
-0.05,-3.37E-06
-0.03,-2.43E-06
-0.01,-7.90E-07
0.01,5.96E-07
0.03,2.24E-06
0.05,3.87E-06
0.07,6.45E-06
0.09,9.03E-06
0.1105,1.25E-05
0.1305,1.70E-05
0.1505,2.19E-05
0.1705,2.80E-05
0.1905,3.57E-05
0.2105,4.83E-05
0.2305,5.93E-05
0.2505,7.22E-05
0.2705,8.79E-05
0.2905,1.10E-04
0.311,1.31E-04
0.331,1.56E-04
0.351,1.87E-04
0.371,2.19E-04
0.391,2.59E-04
0.411,3.03E-04
0.431,3.50E-04
0.451,3.99E-04
0.471,4.58E-04
0.491,5.22E-04
0.5115,5.96E-04
0.5315,6.71E-04
0.5515,7.51E-04
0.5715,8.42E-04
0.5915,9.35E-04
0.6115,0.00104
0.6315,0.00115
0.6515,0.00127
0.6715,0.00139
0.6915,0.00152
0.712,0.00166
0.732,0.00181
0.752,0.00196
0.772,0.00212
0.792,0.00229
0.812,0.00246
0.832,0.00264
0.852,0.00283
0.872,0.00302
0.892,0.00322
0.9125,0.00343
0.9325,0.00365
0.9525,0.00387
0.9725,0.00409
0.9925,0.00433
1.0125,0.00456
1.0325,0.00481
1.0525,0.00507
1.0725,0.00532
1.0925,0.00559
1.113,0.00586
1.133,0.00614
1.153,0.00642
1.173,0.00671
1.193,0.00701
1.213,0.00731
1.233,0.00761
1.253,0.00794
1.273,0.00826
1.293,0.0086
1.3135,0.00897
1.3335,0.00939
1.3535,0.00994
1.3735,0.01042
1.3935,0.01092
1.4135,0.01131
1.4335,0.01165
1.4535,0.01199
1.4735,0.01231
1.4935,0.01262
1.514,0.01295
1.534,0.01329
1.554,0.01363
1.574,0.014
1.594,0.0144
1.614,0.01494
1.634,0.01541
1.654,0.01583
1.674,0.01623
1.694,0.0166
1.7145,0.01696
1.7345,0.01729
1.7545,0.01764
1.7745,0.01796
1.7945,0.0183
1.8145,0.01864
1.8345,0.01897
1.8545,0.0193
1.8745,0.01964
1.8945,0.01997
1.915,0.02032
1.935,0.02065
1.955,0.02098
1.975,0.02133
1.995,0.02166
2.015,0.022
2.035,0.02235
2.055,0.0227
2.075,0.02306
2.095,0.02342
2.1155,0.02378
2.1355,0.02413
2.1555,0.02449
2.1755,0.02484
2.1955,0.02518
2.2155,0.02553
2.2355,0.02587
2.2555,0.02621
2.2755,0.02653
2.2955,0.02687
2.316,0.02722
2.336,0.02756
2.356,0.02789
2.376,0.02824
2.396,0.02859
2.416,0.02892
2.436,0.02927
2.456,0.02963
2.476,0.02998
2.496,0.03
2.5165,0.03
2.5365,0.03
2.5565,0.03
2.5765,0.03
2.5965,0.03
2.6165,0.03
2.6365,0.03
2.6565,0.03
2.6765,0.03
2.6965,0.03
2.717,0.03
2.737,0.03
2.757,0.03
2.777,0.03
2.797,0.03
2.817,0.03
2.837,0.03
2.857,0.03
2.877,0.03
2.897,0.03
2.9175,0.03
2.9375,0.03
2.9575,0.03
2.9775,0.03
2.9975,0.03
3.0175,0.03
3.0375,0.03
3.0575,0.03
3.0775,0.03
3.0975,0.03
3.118,0.03
3.138,0.03
3.158,0.03
3.178,0.03
3.198,0.03
3.218,0.03
3.238,0.03
3.258,0.03
3.278,0.03
3.298,0.03
3.3185,0.03
3.3385,0.03
3.3585,0.03
3.3785,0.03
3.3985,0.03
3.4185,0.03
3.4385,0.03
3.4585,0.03
3.4785,0.03
3.4985,0.03
3.519,0.03
3.539,0.03
3.559,0.03
3.579,0.03
3.599,0.03
3.619,0.03
3.639,0.03
3.659,0.03
3.679,0.03
3.699,0.03
3.7195,0.03
3.7395,0.03
3.7595,0.03
3.7795,0.03
3.7995,0.03
3.8195,0.03
3.8395,0.03
3.8595,0.03
3.8795,0.03
3.8995,0.03
3.92,0.03
3.94,0.03
3.96,0.03
3.98,0.03
4,0.03
3.98,0.03
3.96,0.03
3.94,0.03
3.92,0.03
3.8995,0.03
3.8795,0.03
3.8595,0.03
3.8395,0.03
3.8195,0.03
3.7995,0.03
3.7795,0.03
3.7595,0.03
3.7395,0.03
3.7195,0.03
3.699,0.03
3.679,0.03
3.659,0.03
3.639,0.03
3.619,0.03
3.599,0.03
3.579,0.03
3.559,0.03
3.539,0.03
3.519,0.03
3.4985,0.03
3.4785,0.03
3.4585,0.03
3.4385,0.03
3.4185,0.03
3.3985,0.03
3.3785,0.03
3.3585,0.03
3.3385,0.03
3.3185,0.03
3.298,0.03
3.278,0.03
3.258,0.03
3.238,0.03
3.218,0.03
3.198,0.03
3.178,0.03
3.158,0.03
3.138,0.03
3.118,0.03
3.0975,0.03
3.0775,0.03
3.0575,0.03
3.0375,0.03
3.0175,0.03
2.9975,0.03
2.9775,0.03
2.9575,0.03
2.9375,0.03
2.9175,0.03
2.897,0.03
2.877,0.03
2.857,0.03
2.837,0.03
2.817,0.03
2.797,0.03
2.777,0.03
2.757,0.03
2.737,0.03
2.717,0.03
2.6965,0.03
2.6765,0.03
2.6565,0.03
2.6365,0.03
2.6165,0.03
2.5965,0.03
2.5765,0.03
2.5565,0.03
2.5365,0.03
2.5165,0.03
2.496,0.03
2.476,0.03
2.456,0.03
2.436,0.03
2.416,0.03
2.396,0.02997
2.376,0.02967
2.356,0.02937
2.336,0.02908
2.316,0.02878
2.2955,0.02848
2.2755,0.02819
2.2555,0.0279
2.2355,0.02761
2.2155,0.02731
2.1955,0.02702
2.1755,0.02673
2.1555,0.02643
2.1355,0.02613
2.1155,0.02585
2.095,0.02555
2.075,0.02527
2.055,0.02497
2.035,0.02468
2.015,0.0244
1.995,0.02411
1.975,0.02383
1.955,0.02353
1.935,0.02324
1.915,0.02296
1.8945,0.02266
1.8745,0.02238
1.8545,0.0221
1.8345,0.02181
1.8145,0.02153
1.7945,0.02124
1.7745,0.02096
1.7545,0.02068
1.7345,0.02039
1.7145,0.02011
1.694,0.01982
1.674,0.01955
1.654,0.01926
1.634,0.01898
1.614,0.0187
1.594,0.01843
1.574,0.01815
1.554,0.01788
1.534,0.0176
1.514,0.01732
1.4935,0.01704
1.4735,0.01676
1.4535,0.01649
1.4335,0.01621
1.4135,0.01594
1.3935,0.01567
1.3735,0.0154
1.3535,0.01512
1.3335,0.01485
1.3135,0.01458
1.293,0.01431
1.273,0.01403
1.253,0.01377
1.233,0.0135
1.213,0.01324
1.193,0.01297
1.173,0.01271
1.153,0.01244
1.133,0.01218
1.113,0.01192
1.0925,0.01165
1.0725,0.01139
1.0525,0.01113
1.0325,0.01087
1.0125,0.01061
0.9925,0.01036
0.9725,0.01011
0.9525,0.00985
0.9325,0.0096
0.9125,0.00934
0.892,0.00909
0.872,0.00884
0.852,0.00859
0.832,0.00834
0.812,0.0081
0.792,0.00785
0.772,0.00761
0.752,0.00737
0.732,0.00713
0.712,0.00689
0.6915,0.00665
0.6715,0.00641
0.6515,0.00617
0.6315,0.00594
0.6115,0.00571
0.5915,0.00548
0.5715,0.00525
0.5515,0.00503
0.5315,0.0048
0.5115,0.00458
0.491,0.00436
0.471,0.00414
0.451,0.00392
0.431,0.00371
0.411,0.0035
0.391,0.0033
0.371,0.00309
0.351,0.00289
0.331,0.00269
0.311,0.0025
0.2905,0.0023
0.2705,0.00212
0.2505,0.00193
0.2305,0.00175
0.2105,0.00158
0.1905,0.0014
0.1705,0.00123
0.1505,0.00108
0.1305,9.16E-04
0.1105,7.61E-04
0.09,6.12E-04
0.07,4.70E-04
0.05,3.26E-04
0.03,1.91E-04
0.01,5.63E-05
-0.01,-6.86E-05
-0.03,-2.02E-04
-0.05,-3.32E-04
-0.07,-4.59E-04
-0.09,-5.90E-04
-0.1105,-7.23E-04
-0.1305,-8.56E-04
-0.1505,-9.95E-04
-0.1705,-0.00113
-0.1905,-0.00127
-0.2105,-0.00141
-0.2305,-0.00155
-0.2505,-0.0017
-0.2705,-0.00186
-0.2905,-0.00201
-0.311,-0.00216
-0.331,-0.00233
-0.351,-0.00248
-0.371,-0.00265
-0.391,-0.00281
-0.411,-0.00298
-0.431,-0.00314
-0.451,-0.00331
-0.471,-0.00348
-0.491,-0.00365
-0.5115,-0.00383
-0.5315,-0.00401
-0.5515,-0.00419
-0.5715,-0.00436
-0.5915,-0.00455
-0.6115,-0.00473
-0.6315,-0.00491
-0.6515,-0.00509
-0.6715,-0.00528
-0.6915,-0.00546
-0.712,-0.00566
-0.732,-0.00585
-0.752,-0.00604
-0.772,-0.00623
-0.792,-0.00642
-0.812,-0.00662
-0.832,-0.00681
-0.852,-0.007
-0.872,-0.00719
-0.892,-0.00738
-0.9125,-0.00759
-0.9325,-0.00778
-0.9525,-0.00799
-0.9725,-0.00818
-0.9925,-0.00838
-1.0125,-0.00858
-1.0325,-0.00878
-1.0525,-0.00898
-1.0725,-0.00918
-1.0925,-0.00938
-1.113,-0.00958
-1.133,-0.00978
-1.153,-0.00998
-1.173,-0.01018
-1.193,-0.01038
-1.213,-0.01058
-1.233,-0.01078
-1.253,-0.01097
-1.273,-0.01117
-1.293,-0.01137
-1.3135,-0.01157
-1.3335,-0.01176
-1.3535,-0.01196
-1.3735,-0.01216
-1.3935,-0.01235
-1.4135,-0.01254
-1.4335,-0.01274
-1.4535,-0.01292
-1.4735,-0.01311
-1.4935,-0.0133
-1.514,-0.01349
-1.534,-0.01367
-1.554,-0.01384
-1.574,-0.01402
-1.594,-0.0142
-1.614,-0.01438
-1.634,-0.01456
-1.654,-0.01472
-1.674,-0.01489
-1.694,-0.01506
-1.7145,-0.01522
-1.7345,-0.01538
-1.7545,-0.01554
-1.7745,-0.0157
-1.7945,-0.01585
-1.8145,-0.016
-1.8345,-0.01616
-1.8545,-0.0163
-1.8745,-0.01645
-1.8945,-0.0166
-1.915,-0.01673
-1.935,-0.01688
-1.955,-0.01702
-1.975,-0.01716
-1.995,-0.0173
-2.015,-0.01744
-2.035,-0.01758
-2.055,-0.01771
-2.075,-0.01784
-2.095,-0.01797
-2.1155,-0.01812
-2.1355,-0.01825
-2.1555,-0.01838
-2.1755,-0.01851
-2.1955,-0.01864
-2.2155,-0.01876
-2.2355,-0.01889
-2.2555,-0.01901
-2.2755,-0.01913
-2.2955,-0.01925
-2.316,-0.01937
-2.336,-0.01949
-2.356,-0.0196
-2.376,-0.01971
-2.396,-0.01983
-2.416,-0.01994
-2.436,-0.02005
-2.456,-0.02016
-2.476,-0.02026
-2.496,-0.02035
-2.5165,-0.02045
-2.5365,-0.02054
-2.5565,-0.02064
-2.5765,-0.02073
-2.5965,-0.02082
-2.6165,-0.0209
-2.6365,-0.02098
-2.6565,-0.02106
-2.6765,-0.02114
-2.6965,-0.0212
-2.717,-0.02128
-2.737,-0.02136
-2.757,-0.02143
-2.777,-0.02149
-2.797,-0.02156
-2.817,-0.02162
-2.837,-0.02167
-2.857,-0.02174
-2.877,-0.0218
-2.897,-0.02186
-2.9175,-0.02192
-2.9375,-0.02198
-2.9575,-0.02204
-2.9775,-0.02208
-2.9975,-0.02214
-3.0175,-0.0222
-3.0375,-0.02225
-3.0575,-0.02231
-3.0775,-0.02237
-3.0975,-0.02244
-3.118,-0.02251
-3.138,-0.02258
-3.158,-0.02266
-3.178,-0.02273
-3.198,-0.02282
-3.218,-0.02292
-3.238,-0.02301
-3.258,-0.02313
-3.278,-0.02325
-3.298,-0.02339
-3.3185,-0.02353
-3.3385,-0.02368
-3.3585,-0.02385
-3.3785,-0.02402
-3.3985,-0.02421
-3.4185,-0.02441
-3.4385,-0.02463
-3.4585,-0.02485
-3.4785,-0.02507
-3.4985,-0.0253
-3.519,-0.02556
-3.539,-0.02579
-3.559,-0.02604
-3.579,-0.0263
-3.599,-0.02654
-3.619,-0.0268
-3.639,-0.02707
-3.659,-0.02734
-3.679,-0.0276
-3.699,-0.02787
-3.7195,-0.02815
-3.7395,-0.02842
-3.7595,-0.02871
-3.7795,-0.02898
-3.7995,-0.02926
-3.8195,-0.02955
-3.8395,-0.02984
-3.8595,-0.03
-3.8795,-0.03
-3.8995,-0.03
-3.92,-0.03
-3.94,-0.03
-3.96,-0.03
-3.98,-0.03
-4,-0.03
